bin.no;r.m;d.Gy;F1
122;1.062558e-05;4.705069e-07;9.992785e-01
123;1.062511e-05;5.042768e-07;9.991903e-01
124;1.062458e-05;5.404704e-07;9.990913e-01
125;1.062399e-05;5.792619e-07;9.989802e-01
126;1.062333e-05;6.208375e-07;9.988556e-01
127;1.062258e-05;6.653972e-07;9.987158e-01
128;1.062175e-05;7.131550e-07;9.985589e-01
129;1.062081e-05;7.643406e-07;9.983829e-01
130;1.061976e-05;8.192000e-07;9.981855e-01
131;1.061859e-05;8.779968e-07;9.979641e-01
132;1.061726e-05;9.410137e-07;9.977159e-01
133;1.061578e-05;1.008554e-06;9.974374e-01
134;1.061412e-05;1.080941e-06;9.971253e-01
135;1.061226e-05;1.158524e-06;9.967753e-01
136;1.061017e-05;1.241675e-06;9.963831e-01
137;1.060783e-05;1.330794e-06;9.959435e-01
138;1.060521e-05;1.426310e-06;9.954509e-01
139;1.060227e-05;1.528681e-06;9.948992e-01
140;1.059897e-05;1.638400e-06;9.942812e-01
141;1.059528e-05;1.755994e-06;9.935893e-01
142;1.059115e-05;1.882027e-06;9.928148e-01
143;1.058653e-05;2.017107e-06;9.919481e-01
144;1.058136e-05;2.161882e-06;9.909788e-01
145;1.057557e-05;2.317048e-06;9.898950e-01
146;1.056910e-05;2.483350e-06;9.886839e-01
147;1.056186e-05;2.661589e-06;9.873311e-01
148;1.055378e-05;2.852620e-06;9.858209e-01
149;1.054476e-05;3.057363e-06;9.841362e-01
150;1.053470e-05;3.276800e-06;9.822582e-01
151;1.052347e-05;3.511987e-06;9.801662e-01
152;1.051097e-05;3.764055e-06;9.778380e-01
153;1.049704e-05;4.034214e-06;9.752494e-01
154;1.048156e-05;4.323764e-06;9.723744e-01
155;1.046436e-05;4.634095e-06;9.691851e-01
156;1.044526e-05;4.966700e-06;9.656517e-01
157;1.042410e-05;5.323177e-06;9.617427e-01
158;1.040068e-05;5.705240e-06;9.574250e-01
159;1.037478e-05;6.114725e-06;9.526639e-01
160;1.034621e-05;6.553600e-06;9.474237e-01
161;1.031474e-05;7.023975e-06;9.416679e-01
162;1.028013e-05;7.528110e-06;9.353595e-01
163;1.024215e-05;8.068428e-06;9.284618e-01
164;1.020057e-05;8.647527e-06;9.209387e-01
165;1.015515e-05;9.268190e-06;9.127559e-01
166;1.010566e-05;9.933400e-06;9.038811e-01
167;1.005188e-05;1.064635e-05;8.942852e-01
168;9.993587e-06;1.141048e-05;8.839432e-01
169;9.930594e-06;1.222945e-05;8.728349e-01
170;9.862728e-06;1.310720e-05;8.609457e-01
171;9.789841e-06;1.404795e-05;8.482676e-01
172;9.711814e-06;1.505622e-05;8.347997e-01
173;9.628562e-06;1.613686e-05;8.205490e-01
174;9.540039e-06;1.729505e-05;8.055303e-01
175;9.446233e-06;1.853638e-05;7.897668e-01
176;9.347175e-06;1.986680e-05;7.732899e-01
177;9.242937e-06;2.129271e-05;7.561389e-01
178;9.133630e-06;2.282096e-05;7.383604e-01
179;9.019404e-06;2.445890e-05;7.200080e-01
180;8.900448e-06;2.621440e-05;7.011410e-01
181;8.776983e-06;2.809590e-05;6.818238e-01
182;8.649262e-06;3.011244e-05;6.621246e-01
183;8.517562e-06;3.227371e-05;6.421142e-01
184;8.382187e-06;3.459011e-05;6.218652e-01
185;8.243453e-06;3.707276e-05;6.014506e-01
186;8.101694e-06;3.973360e-05;5.809427e-01
187;7.957252e-06;4.258542e-05;5.604125e-01
188;7.810471e-06;4.564192e-05;5.399283e-01
189;7.661700e-06;4.891780e-05;5.195554e-01
190;7.511282e-06;5.242880e-05;4.993554e-01
191;7.359557e-06;5.619180e-05;4.793855e-01
192;7.206853e-06;6.022488e-05;4.596984e-01
193;7.053491e-06;6.454743e-05;4.403417e-01
194;6.899777e-06;6.918022e-05;4.213585e-01
195;6.746003e-06;7.414552e-05;4.027863e-01
196;6.592446e-06;7.946720e-05;3.846581e-01
197;6.439368e-06;8.517084e-05;3.670017e-01
198;6.287011e-06;9.128384e-05;3.498404e-01
199;6.135602e-06;9.783560e-05;3.331931e-01
200;5.985353e-06;1.048576e-04;3.170744e-01
201;5.836456e-06;1.123836e-04;3.014949e-01
202;5.689086e-06;1.204498e-04;2.864618e-01
203;5.543406e-06;1.290949e-04;2.719787e-01
204;5.399558e-06;1.383604e-04;2.580466e-01
205;5.257674e-06;1.482910e-04;2.446633e-01
206;5.117867e-06;1.589344e-04;2.318246e-01
207;4.980240e-06;1.703417e-04;2.195241e-01
208;4.844882e-06;1.825677e-04;2.077533e-01
209;4.711868e-06;1.956712e-04;1.965024e-01
210;4.581264e-06;2.097152e-04;1.857600e-01
211;4.453124e-06;2.247672e-04;1.755138e-01
212;4.327493e-06;2.408995e-04;1.657503e-01
213;4.204405e-06;2.581897e-04;1.564555e-01
214;4.083888e-06;2.767209e-04;1.476146e-01
215;3.965960e-06;2.965821e-04;1.392125e-01
216;3.850632e-06;3.178688e-04;1.312338e-01
217;3.737910e-06;3.406834e-04;1.236629e-01
218;3.627792e-06;3.651354e-04;1.164840e-01
219;3.520270e-06;3.913424e-04;1.096816e-01
220;3.415334e-06;4.194304e-04;1.032400e-01
221;3.312967e-06;4.495344e-04;9.714398e-02
222;3.213149e-06;4.817990e-04;9.137834e-02
223;3.115854e-06;5.163794e-04;8.592823e-02
224;3.021057e-06;5.534417e-04;8.077916e-02
225;2.928725e-06;5.931642e-04;7.591697e-02
226;2.838828e-06;6.357376e-04;7.132793e-02
227;2.751328e-06;6.813667e-04;6.699870e-02
228;2.666190e-06;7.302708e-04;6.291638e-02
229;2.583374e-06;7.826848e-04;5.906853e-02
230;2.502840e-06;8.388608e-04;5.544314e-02
231;2.424547e-06;8.990688e-04;5.202867e-02
232;2.348452e-06;9.635980e-04;4.881405e-02
233;2.274511e-06;1.032759e-03;4.578864e-02
234;2.202681e-06;1.106883e-03;4.294227e-02
235;2.132918e-06;1.186328e-03;4.026521e-02
236;2.065176e-06;1.271475e-03;3.774816e-02
237;1.999411e-06;1.362733e-03;3.538228e-02
238;1.935577e-06;1.460542e-03;3.315910e-02
239;1.873630e-06;1.565370e-03;3.107059e-02
240;1.813525e-06;1.677722e-03;2.910910e-02
241;1.755217e-06;1.798138e-03;2.726737e-02
242;1.698661e-06;1.927196e-03;2.553849e-02
243;1.643815e-06;2.065518e-03;2.391594e-02
244;1.590633e-06;2.213767e-03;2.239349e-02
245;1.539074e-06;2.372657e-03;2.096528e-02
246;1.489094e-06;2.542950e-03;1.962574e-02
247;1.440653e-06;2.725467e-03;1.836962e-02
248;1.393707e-06;2.921083e-03;1.719194e-02
249;1.348218e-06;3.130739e-03;1.608799e-02
250;1.304144e-06;3.355443e-03;1.505335e-02
251;1.261448e-06;3.596275e-03;1.408381e-02
252;1.220089e-06;3.854392e-03;1.317543e-02
253;1.180031e-06;4.131035e-03;1.232448e-02
254;1.141237e-06;4.427534e-03;1.152744e-02
255;1.103669e-06;4.745313e-03;1.078101e-02
256;1.067294e-06;5.085901e-03;1.008206e-02
257;1.032075e-06;5.450934e-03;9.427666e-03
258;9.979798e-07;5.842166e-03;8.815056e-03
259;9.649746e-07;6.261478e-03;8.241634e-03
260;9.330271e-07;6.710886e-03;7.704955e-03
261;9.021059e-07;7.192550e-03;7.202721e-03
262;8.721800e-07;7.708784e-03;6.732772e-03
263;8.432196e-07;8.262070e-03;6.293076e-03
264;8.151953e-07;8.855068e-03;5.881729e-03
265;7.880787e-07;9.490627e-03;5.496938e-03
266;7.618420e-07;1.017180e-02;5.137022e-03
267;7.364582e-07;1.090187e-02;4.800404e-03
268;7.119009e-07;1.168433e-02;4.485601e-03
269;6.881446e-07;1.252296e-02;4.191225e-03
270;6.651643e-07;1.342177e-02;3.915971e-03
271;6.429360e-07;1.438510e-02;3.658618e-03
272;6.214359e-07;1.541757e-02;3.418018e-03
273;6.006414e-07;1.652414e-02;3.193097e-03
274;5.805300e-07;1.771014e-02;2.982847e-03
275;5.610804e-07;1.898125e-02;2.786325e-03
276;5.422714e-07;2.034360e-02;2.602645e-03
277;5.240828e-07;2.180373e-02;2.430980e-03
278;5.064947e-07;2.336866e-02;2.270552e-03
279;4.894880e-07;2.504591e-02;2.120634e-03
280;4.730441e-07;2.684355e-02;1.980546e-03
281;4.571449e-07;2.877020e-02;1.849649e-03
282;4.417729e-07;3.083514e-02;1.727348e-03
283;4.269111e-07;3.304828e-02;1.613083e-03
284;4.125431e-07;3.542027e-02;1.506330e-03
285;3.986528e-07;3.796251e-02;1.406602e-03
286;3.852247e-07;4.068721e-02;1.313439e-03
287;3.722439e-07;4.360747e-02;1.226413e-03
288;3.596958e-07;4.673733e-02;1.145123e-03
289;3.475663e-07;5.009183e-02;1.069195e-03
290;3.358416e-07;5.368709e-02;9.982760e-04
